Question,Answer
Why does the author aver that the growth of world population is one of the strongest factors distorting the future of human society?,"The author believes that the world’s population growth is one of the most powerful factors distorting future human society because a growing population not only increases food demand but also depletes current resources at an unrecoverable rate. Fertility rates are declining as incomes rise, education spreads, and health improves. As a result, development is the most effective contraceptive. However, if the current rate of population growth continues, development may be impossible. The rich get richer, while the poor have children who keep them poor. Having more children does not imply more workers, but rather more unemployed people. It is not advocated that humans be treated like cattle and forced to be sterilized. However, there is no alternative to voluntary family planning that does not involve some form of coercion. The choice is really between population control and poverty perpetuation."
The phrase ‘inter alia’ meaning ‘among other things’ is one of the many Latin expressions commonly used in English. Find out what these Latin phrases mean. 1. prima facie 2. ad hoc 3. in camera 4. ad infinitum 5. mutatis mutandis 6. caveat 7. tabula rasa,"1. prima facie – at first face or first impression 2. ad hoc – created or done for a particular purpose as necessary 3. In-camera – doing something that the camera rolls. 4. ad infinitum – again and again in the same way 5. mutatis mutandis – making necessary alterations while not affecting the main point at issue. 6. Caveat – a warning or proviso of specific stipulations, conditions, or limitations. 7. tabula rasa – an absence of preconceived ideas or predetermined goals"
I. Locate the following phrases in the text and study their connotation. 1. gripped the imagination of 2. dawned upon 3. ushered in 4. passed into current coin 5. passport of the future,"1. gripped the imagination of: received much attention2. dawned upon: realised it for the first time
3. ushered in: began the new idea
4. passed into current coin: have been brought into use
5. passport of the future: a thing that makes something possible
"
Comment on the attitude shown by Taplow towards Crocker-Harris.,"Crocker-Harris is Taplow’s teacher. According to Taplow, he is a person who adheres to strict principles and is a hard worker, which is clear from the fact that he scheduled a class on the last day of school. He was fair to Taplow and gave him the grades he deserved. He is a person who does not care to be liked by others. Despite being a strict person, he is Taplow’s favourite because he is hardworking and gives his all to his students. Taplow told Frank about Crocker-Harris that he is not sadistic, but he is strict."
Does Frank seem to encourage Taplow’s comments on CrockerHarris?,"Yes, Frank appears to support Taplow’s comments about Crocker-Harris. When Taplow told Frank about Crocker-Harris, he said, “Crocker-Harris is a person who is shrivelled up inside like a nut, and he seems to hate people who like him.” Frank cleverly persuaded Taplow to talk more about Crocker-Harris by asking a series of questions. During the conversation with Taplow, he also repeated the name “Crocker-Harris” so that Taplow would say something more about Crocker-Harris."
What do you gather about Crocker-Harris from the play?,"Crocker-Harris is a teacher who strictly adheres to his rules, regulations, and principles. He is someone who believes in making unbiased decisions about his students, and he is emotionless in front of them so that he can treat everyone equally. He is not a sadist, but he is serious about his job. When he schedules class on the last day of school, he is strict about his responsibilities."
"A sadist is a person who gets pleasure out of giving pain to others. Given below are some dictionary definitions of certain kinds of persons. Find out the words that fit these descriptions. 1. A person who considers it very important that things should be correct or genuine, e.g. in the use of language or in the arts: P…",Perfectionist
A person who believes that war and violence are wrong and will not fight in a war: P…,Pacifist
A person who believes that nothing really exists: N…,Nihilist
A person who is always hopeful and expects the best in all things: O…,Optimist
A person who follows generally accepted norms of behaviour: C…,Conventionalist
A person who believes that material possessions are all that matter in life: M…,Materialist
Identify the stanza that talks of each of the following. individuality rationalism hypocrisy,Individuality – Third stanza Rationalism – First stanza Hypocrisy – Second stanza
What according to the poem is involved in the process of growing up?,"According to the poem, the poet was attempting to direct the process of maturation from childhood to adolescence. The poet believes that by losing his childhood, he will gain some characteristics that will perfectly define his adolescence. These characteristics include: comprehending rationalism and discrimination, comprehending adult hypocrisy, comprehending the power of individualism and selfconfidence."
What is the poet’s feeling towards childhood?,"Childhood, according to the poet, is a stage from which the next stage, adolescence, begins. Childhood was the stage when people tended to believe things earlier; a child easily believed what adults said. The poet was eager to enter his adolescent stage because a poet is eager to understand rationalism, discrimination, hypocrisy, individualism, and self-confidence, and the poet has no regrets about losing his childhood."
Which do you think are the most poetic lines? Why?,"The poem’s final stanza appears to be the most poetic: “It went to some forgotten place That’s hidden in an infant’s face; that’s all I know.” These lines beautifully capture the process of growth and the passing of a particular stage of life. These lines imply, metaphorically, that an infant’s innocent face conceals a great deal behind its smiles. He finds solace in the fact that the virtues of childhood are not forever lost but may be hidden somewhere in the child’s consciousness."
Tick the statements that are true. 1. The story is an account of real events,FALSE
The story hinges on a particular historical event.,TRUE
Rajendra Deshpande was a historian.,FALSE
The places mentioned in the story are all imaginary.,FALSE
The story tries to relate history to science.,TRUE
Briefly explain the following statements from the text. 1. “You neither travelled to the past nor the future. You were in the present experiencing a different world.”,"“You did not travel to the past or the future. You were in the present, but you were in a different world.” These words were spoken by Rajendra Deshpande while attempting to explain his strange experience to Professor Gaitonde. When the professor was involved in an accident, he began to reflect on the Battle of Panipat and the consequences that occurred in his life. His thoughts wandered between what we know about history and what might have been. The professor was experiencing two worlds at the same time by thinking. According to the same theory, there must be many more different worlds emerging from unrealistic thoughts."
"“You have passed through a fantastic experience: or more correctly, a catastrophic experience.”","“You’ve had a fantastic experience, or, more accurately, a catastrophic experience.” Professor Gaitonde was told by Rajendra Deshpande that he had an exciting experience. He claimed that we lived in a one-of-a-kind world with a one-of-a-kind history. Gangadhar Pant’s mind jumped to another world as a result of the accident, which was unrealistic. History took a different turn in that world after the Marathas won the Battle of Panipat. Rajendra explained this using the catastrophic theory, which holds that reality is full of misinterpretations."
Gangadharpant could not help comparing the country he knew with what he was witnessing around him.,"“Gangadhar Pant couldn’t help but compare his home country to what he was seeing around him.” Gangadhar Pant witnessed two different perspectives of the same reality, albeit one at a time, during his extraordinary experience. The India he knew was described in history books as the result of the 1761 Battle of Panipat, in which the Marathas were defeated. The other India he saw was the result of the Marathas’ victory in the battle. In this version, he saw India as a prosperous country that could meet its own needs."
“The lack of determinism in quantum theory!”,"It talks about quantum theory’s lack of determinism. If a bullet is fired from a gun in a specific direction at a specific speed, one can predict where it will end up, but the same cannot be said for an electron. When an electron is emitted by a source, it can come from anywhere. This is due to quantum theory’s lack of determinism. According to this theory, reality is never one-sided. At the same time, alternate worlds may exist."
“You need some interaction to cause a transition.”,"To cause a transition, some interaction is required. According to Rajendra Deshpande, Professor Gaintonde made a change as a result of the interaction that occurred in the professor’s mind at the time of the collision. The professor was thinking about catastrophic theory and its role in wars at the time of the collision. He was thinking about the Battle of Panipat and its aftermath. The transition was caused by the interaction in his brain."
In which language do you think Gangadharpant and Khan Sahib talked to each other? Which language did Gangadharpant use to talk to the English receptionist?,"Gangadharpant and Khan Sahib communicated in Marathi, and they used a translator to communicate with the English-speaking receptionist."
In which language do you think Bhausahebanchi Bakhar was written?,Bhausahebanchi Bakhar was written in Maratha language.
"There is mention of three communities in the story: the Marathas, the Mughals, the Anglo-Indians. Which language do you think they used within their communities and while speaking to the other groups?","When they spoke to each other, they used their traditional slang, but when they spoke to other groups, they used the language that was understood by people from all three communities."
Tick the item that is closest in meaning to the following phrases. 1. to take issue with (i) to accept (ii) to discuss (iii) to disagree (iv) to add,(iii) to disagree
to give vent to (i) to express (ii) to emphasise (iii) suppress (iv) dismiss,(i) to express
to stand on one’s feet (i) to be physically strong (ii) to be independent (iii) to stand erect (iv) to be successful,(ii) to be independent
to be wound up (i) to become active (ii) to stop operating (iii) to be transformed (iv) to be destroyed,(ii) to stop operating
"to meet one’s match (i) to meet a partner who has similar tastes (ii) to meet an opponent
(iii) to meet someone who is equally able as oneself
(iv) to meet defeat
",(iii) to meet someone who is equally able as oneself
Distinguish between the following pairs of sentences. 1. (i) He was visibly moved. (ii) He was visually impaired.,i. In a way that can be noticed. ii. Related to one’s seeing or appearance
(i) Green and black stripes were used alternately. (ii) Green stripes could be used or alternatively black ones.,i. Occur in turn repeatedly ii. As an option or possibility
(i) The team played the two matches successfully. (ii) The team played two matches successively.,"i. Achieving aim or result ii. Immediately, one after another"
(i) The librarian spoke respectfully to the learned scholar. (ii) You will find the historian and the scientist in the archaeology and natural science sections of the museum respectively.,i. With deference and respect ii. Separately or individually and in the order already mentioned.
Give reasons for the following statements. 1. The article has been titled ‘Silk Road.’,"The article is titled Silk Road because the author travelled through the mountains where the ancient Silk Road used to pass, connecting Tibet to China."
Tibetan mastiffs were popular in China’s imperial courts.,"Tibetan mastiffs were ferocious and watchful guard dogs. When the author’s vehicle entered the property, they chased it down without fear. As a result, they were presented to the Chinese imperial court as a form of tribute from Tibet."
The author’s experience at Hor was in stark contrast to earlier accounts of the place.,"The author’s experience at Hor contrasted with travel accounts such as those of Kawaguchi and Hedin, who were overcome by the beauty and serenity of the lake, and cried. The author observed a neglected Hor with sparse vegetation, a rocky and dusty landscape, and discarded waste in the surrounding area."
The author was disappointed with Darchen.,"When they arrived in Darchen, the author couldn’t sleep due to a cold, so he sought treatment from a Tibetan doctor. When he looked around the next day, he noticed there were no pilgrims, which was a major disadvantage for his future journey."
The author thought that his positive thinking strategy worked well after all.,"When the author discovered no pilgrims in Darchen, he began to doubt his positive thinking. But, by chance, he ran into Norbu, who had also come to do kora. He was a professor in Beijing. When he suggested that they both form a team, the author realised that his positive thinking had paid off after all."
The purpose of the author’s journey to Mount Kailash.,"The author’s trip to Mount Kailash was part of a self-improvement programme. The author wanted to boost his positive thinking, so he went on a pilgrimage called the kora."
The author’s physical condition in Darchen.,"At Darchen, one of the author’s nostrils became blocked. When he tried to sleep, he got up because his chest felt uneasy, though it was fine once he sat up. When he discovered he couldn’t lie down, he tried sleeping by leaning against a wall, but he became afraid of falling asleep due to his breathing problem. He felt better after taking the medication."
The author’s meeting with Norbu.,"Norbu and the author met by chance in Darchen’s cafe. When Norbu noticed the author reading an English novel, he struck up a conversation, and they soon realised they were both headed for Korba. They decided to form a group."
Tsetan’s support to the author during the journey.,"Tsetan drove the author from Ravu to Darchen in his four-wheel drive vehicle. He manoeuvred his way through the snowy terrain. When the author became ill, he also took him to the Darchen medical college. Throughout, Tsetan was a dependable and approachable companion."
"“As a Buddhist, he told me, he knew that it didn’t really matter if I passed away, but he thought it would be bad for business.”","Tsetan was a devout Buddhist who believed that death was not the end of the world. Kailash is a holy place; going there would be better for him because it would transport him to heaven. Then, if the author died there, it would be bad for his business because his credibility in looking after the tourists would be jeopardised, and he might not get any customers later."
Notice the kind of English Tsetan uses while talking to the author. How do you think he picked it up?,Tsetan’s English must have been picked up through his travels and interactions with the pilgrims he met.
"What do the following utterances indicate? (i) “I told her, through Daniel …” (ii) “It’s a cold,” he said finally through Tsetan.","The preceding utterances demonstrate the absence of a common language. The author was unable to communicate in the local language and could only communicate in English. As a result, Daniel was the translator, and Tsetan was the one who translated the doctor’s words for the author."
Guess the meaning of the following words. kora drokba kyang In which language are these words found?,These are of Tibetan language.
Does the poem talk of an exclusively personal experience or is it fairly universal?,The poem discusses a fairly universal experience concerning the relationship between parents and children. The poem discusses the communication gap and how neither of them understands what the other is thinking.
How is the father’s helplessness brought out in the poem?,"The father’s helplessness is emphasised by the depiction of his emotional struggle. He is aware of the issue and wants to solve it, but he is unable to do so. He bemoans the fact that his son has become a stranger to him. He regrets the lack of a strong emotional bond and proper communication with his estranged son and wishes to start over and rebuild their relationship."
Identify the phrases and lines that indicate distance between father and son.,"Lines and phrases that show the distance between father and son are: “land is his and none of mine” “Him prodigal, returning to his father’s house” “see him make and move his world” “put out an empty hand”"
Does the poem have a consistent rhyme scheme?,"The poem has a rhyme scheme, but it is inconsistent. The rhyme scheme varies slightly between stanzas."
